roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
7Networks_LH_SalVentAttn_FrOperIns_6,7Networks_LH_SalVentAttn_FrOperIns_6,285,cortex,L,SalVentAttn,-36.073106,5.371878,9.667188,1122,,,,
7Networks_LH_SalVentAttn_FrOperIns_7,7Networks_LH_SalVentAttn_FrOperIns_7,286,cortex,L,SalVentAttn,-44.468203,13.464984,3.538973,1289,,,,
7Networks_LH_SalVentAttn_FrOperIns_8,7Networks_LH_SalVentAttn_FrOperIns_8,287,cortex,L,SalVentAttn,-49.787899,-0.435574,6.566235,2155,,,,
7Networks_LH_SalVentAttn_FrOperIns_9,7Networks_LH_SalVentAttn_FrOperIns_9,288,cortex,L,SalVentAttn,-50.970696,10.650218,12.421912,2617,,,,
7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_PFCl_1,289,cortex,L,SalVentAttn,-29.715194,42.2218,26.510024,5177,,,,
7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_1,290,cortex,L,SalVentAttn,-6.775557,18.567366,33.212596,3120,,,,
7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_2,291,cortex,L,SalVentAttn,-6.784565,-1.637089,41.731652,3040,,,,
7Networks_LH_SalVentAttn_Med_3,7Networks_LH_SalVentAttn_Med_3,292,cortex,L,SalVentAttn,-11.157254,-27.011896,40.935696,2278,,,,
7Networks_LH_SalVentAttn_Med_4,7Networks_LH_SalVentAttn_Med_4,293,cortex,L,SalVentAttn,-6.461125,6.514522,49.10302,3132,,,,
7Networks_LH_SalVentAttn_Med_5,7Networks_LH_SalVentAttn_Med_5,294,cortex,L,SalVentAttn,-11.30089,-40.898094,47.435825,1361,,,,
7Networks_LH_SalVentAttn_Med_6,7Networks_LH_SalVentAttn_Med_6,295,cortex,L,SalVentAttn,-7.938117,-49.333798,57.873906,2074,,,,
7Networks_LH_SalVentAttn_Med_7,7Networks_LH_SalVentAttn_Med_7,296,cortex,L,SalVentAttn,-9.822176,-5.346341,68.256606,1638,,,,
7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_OFC_1,297,cortex,L,Limbic,-11.894779,22.379735,-20.505017,2446,,,,
7Networks_LH_Limbic_OFC_2,7Networks_LH_Limbic_OFC_2,298,cortex,L,Limbic,-21.992458,22.474931,-18.877922,4203,,,,
7Networks_LH_Limbic_OFC_3,7Networks_LH_Limbic_OFC_3,299,cortex,L,Limbic,-10.365665,46.240629,-21.137265,4903,,,,
7Networks_LH_Limbic_OFC_4,7Networks_LH_Limbic_OFC_4,300,cortex,L,Limbic,-4.298053,17.818918,-18.037576,3084,,,,
7Networks_LH_Limbic_OFC_5,7Networks_LH_Limbic_OFC_5,301,cortex,L,Limbic,-16.369824,62.094822,-5.889255,3691,,,,
7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_1,302,cortex,L,Limbic,-37.665729,-4.622361,-40.599989,4998,,,,
7Networks_LH_Limbic_TempPole_2,7Networks_LH_Limbic_TempPole_2,303,cortex,L,Limbic,-25.082436,3.405789,-37.437097,3186,,,,
7Networks_LH_Limbic_TempPole_3,7Networks_LH_Limbic_TempPole_3,304,cortex,L,Limbic,-27.263026,-10.86136,-31.668981,2555,,,,
7Networks_LH_Limbic_TempPole_4,7Networks_LH_Limbic_TempPole_4,305,cortex,L,Limbic,-52.113279,-20.928427,-29.456492,3644,,,,
7Networks_LH_Limbic_TempPole_5,7Networks_LH_Limbic_TempPole_5,306,cortex,L,Limbic,-40.894976,-20.562342,-25.440781,3152,,,,
7Networks_LH_Limbic_TempPole_6,7Networks_LH_Limbic_TempPole_6,307,cortex,L,Limbic,-42.360818,11.066857,-33.503152,6058,,,,
7Networks_LH_Limbic_TempPole_7,7Networks_LH_Limbic_TempPole_7,308,cortex,L,Limbic,-32.977044,10.286803,-27.845032,3392,,,,
7Networks_LH_Limbic_TempPole_8,7Networks_LH_Limbic_TempPole_8,309,cortex,L,Limbic,-22.004531,-23.398519,-23.661545,1582,,,,
7Networks_LH_Cont_Par_1,7Networks_LH_Cont_Par_1,310,cortex,L,Cont,-29.331688,-69.721658,40.162026,2154,,,,
7Networks_LH_Cont_Par_2,7Networks_LH_Cont_Par_2,311,cortex,L,Cont,-56.276252,-40.946425,39.999107,1550,,,,
7Networks_LH_Cont_Par_3,7Networks_LH_Cont_Par_3,312,cortex,L,Cont,-51.29537,-49.31342,41.848046,2478,,,,
7Networks_LH_Cont_Par_4,7Networks_LH_Cont_Par_4,313,cortex,L,Cont,-33.359176,-59.128518,43.607426,2594,,,,
7Networks_LH_Cont_Par_5,7Networks_LH_Cont_Par_5,314,cortex,L,Cont,-40.990548,-51.099147,44.95089,1256,,,,
